,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
123,89.6,0.4568,0.772,0.3662,20.0,40.6,83.0,0.4118000000000001,0.7283999999999999,0.3808,23.0,39.6,0
124,90.8,0.4306,0.765,0.3022,17.6,43.2,93.6,0.42200000000000004,0.825,0.30720000000000003,21.0,43.6,0
125,93.8,0.4754,0.6896000000000001,0.4488,23.0,40.4,90.4,0.4356,0.7068000000000001,0.375,18.4,41.4,0
126,100.2,0.419,0.7944000000000001,0.3252,22.0,47.2,87.4,0.4358,0.8093999999999999,0.299,20.6,39.6,1
127,103.8,0.486,0.7776000000000001,0.4360000000000001,24.8,35.6,92.0,0.4608,0.7564,0.4096,22.8,44.6,1
128,95.2,0.435,0.7525999999999999,0.3598,22.0,36.6,92.8,0.4322,0.7543999999999998,0.2688,23.8,44.8,1
129,92.0,0.4428,0.7222000000000001,0.3684,24.2,45.8,98.2,0.4484,0.7450000000000001,0.3802,21.4,41.2,1
130,99.6,0.4452,0.6732,0.2758,21.6,45.8,83.0,0.381,0.7417999999999999,0.3362,15.6,43.8,1
131,74.4,0.391,0.7388000000000001,0.29,17.6,37.2,89.6,0.4438,0.7766,0.4048,19.8,43.0,1
132,98.8,0.4676,0.7744000000000002,0.3792,30.2,40.6,95.0,0.4388,0.7230000000000001,0.244,22.6,45.8,1
133,91.0,0.4344,0.8544,0.4228,20.2,42.6,85.8,0.406,0.7005999999999999,0.32780000000000004,20.4,44.8,1
134,95.0,0.4374,0.7203999999999999,0.2956,23.8,47.2,89.2,0.4406000000000001,0.7490000000000001,0.3566,22.0,42.6,1
135,92.2,0.4598,0.8254000000000001,0.3662,20.0,39.8,92.2,0.4182,0.6600000000000001,0.32920000000000005,17.8,43.8,0
136,96.0,0.4344,0.7266000000000001,0.3696,19.6,42.4,91.8,0.4116,0.8193999999999999,0.3548,18.6,43.0,0
137,88.6,0.447,0.7581999999999999,0.3278,21.2,40.4,89.4,0.4258,0.6782,0.3976,18.0,40.6,1
138,86.8,0.4260000000000001,0.737,0.3268,23.4,39.0,102.8,0.4958,0.7655999999999998,0.4442,24.8,34.6,0
139,90.0,0.4328,0.7588000000000001,0.387,19.6,40.2,83.8,0.38299999999999995,0.6786,0.26959999999999995,16.0,44.0,0
140,98.8,0.4376,0.7758,0.3192,22.0,42.6,95.0,0.4568,0.8426,0.3924,18.2,38.6,0
141,92.2,0.4414000000000001,0.7121999999999999,0.2934,24.0,48.0,104.6,0.445,0.7958,0.3686,21.4,45.0,1
